3760 8617
1816 1856 401750443
2641 2873 513431595
1010 820 363750133
2930 1709 759781516
3243 1479 419978305
1396 2049 397881432
3501 1563 841737137
1687 3016 507072412
1803 1109 621953523
3616 1721 409972329
937 1820 166658682
147 2181 661316572
97 2618 4154331
3133 1978 799073309
89 1041 893943312
2681 1122 784064682
3412 3218 245171705
1782 2937 887520402
365 2623 602878434
3365 3704 831642377
238 2229 482472162
2402 254 729894979
1393 1073 300501828
2082 2451 323876447
2936 1464 708715448
2772 2748 576653648
889 1813 560304327
1818 830 455011375
3191 812 257421523
3128 2443 277733084
3757 1849 527010708
2399 3432 808281159
1988 3368 679693412
559 340 862236252
1479 1104 861983969
1766 1180 50453755
1039 1739 913975539
3219 1682 373207177
2067 3436 692569775
2123 1397 536178851
1731 2518 506904784
2348 3198 547574846
460 3388 47714266
3050 1925 98397188
667 289 51491940
1910 2876 632012571
604 914 486819827
3754 620 778735410
1092 2087 716013183
3051 826 5722515
2558 1661 189941355
3272 1597 900637014
1336 3126 4266220
3312 1195 854667004
1376 846 768783879
654 1548 17322499
791 1382 325776005
264 1306 577454090
3069 3177 908090942
2339 1116 333276933
521 2281 47808640
3016 3031 112771938
898 822 35095004
2489 1296 503986894
3216 103 102906720
553 1391 83973369
3075 1395 833001576
1984 2349 201756323
1905 2100 918700869
1000 219 28695283
183 1058 277721206
3472 126 773755918
602 1853 307440715
137 2531 751426020
228 2 321720068
3682 2027 61621465
486 75 630263831
1859 1778 676329960
1452 1508 228057051
1132 310 308537243
73 3299 695971069
3523 28 135600819
2247 3325 891989108
3707 1580 575510560
398 2307 969279347
1115 893 564345405
601 1598 659667247
3024 3195 776973002
3177 2883 11375208
1167 241 146234809
805 2326 963688680
32 2147 246544426
136 2911 540057864
3495 2467 268074350
3690 1466 225833678
525 2000 263409257
461 2649 871542585
2876 1016 900094978
363 1376 138726244
2428 2935 169832444
3365 2366 593969572
2638 2836 337507847
2622 335 912524936
2316 3339 832867735
2197 193 869084995
2021 702 365199103
2740 3263 541426762
2730 443 504924280
627 3050 861672051
2317 2683 191174077
648 1354 342204769
2077 3629 442319095
1969 1148 152466744
871 3544 488855097
3078 1528 497057
981 1421 309594212
1622 2761 15471286
1458 2313 761328659
1522 1388 830011708
1003 142 391255271
3085 314 762665439
839 510 300342145
356 2768 125496611
2189 3249 494715493
559 1326 677773366
2825 3694 222379159
1597 1800 65838675
1229 1379 876311341
1486 1691 758222427
487 2302 924857125
2641 367 446567234
2353 3497 871081962
122 332 706027724
1466 2714 638313519
865 2087 745559092
1863 2592 556539844
446 609 56381188
3178 3612 587692863
1538 115 108826361
2646 1848 875595077
3245 2492 305778841
1961 2315 280154056
2643 2871 653546688
695 1825 762312233
2998 246 487285119
3693 2491 444083242
3167 1656 747479980
1627 3688 184969826
572 1696 400356155
2996 909 328688081
2818 2397 759656425
1501 3088 442638250
135 1751 849168962
3341 1796 183542181
2521 2780 151345493
2788 537 928628857
1365 1377 165544353
1313 42 258133095
2582 2360 284221275
3432 3718 125964737
1223 1976 399619373
3623 1975 112702868
62 2722 156082793
78 2873 358398290
1055 2403 772424776
3336 205 176016335
3725 3343 286919255
1971 3365 400555111
1587 627 308461217
1125 2607 97940857
726 2987 210451076
274 3185 66398810
3419 2484 945435597
3139 1615 2794054
2238 103 734083149
2650 2567 390889987
1835 795 720319018
1747 2344 103267972
2821 1887 841362904
3340 1218 326565131
2290 2514 870913873
1650 2210 14847197
63 1191 29430265
3679 3290 62519118
902 3371 383768334
3453 34 474851278
215 2466 411040837
2888 1901 503131640
3741 3009 533306275
933 824 787902580
2114 2268 942511527
2985 2147 536569604
1252 3300 994220563
2758 197 583324756
319 1868 616674409
3538 3341 186107396
3089 3466 210967399
693 3234 223805628
2654 1291 517420444
2030 3341 148050425
1439 1001 592732742
1467 722 402229916
3454 2029 863524553
1731 276 200464711
1448 1340 136998770
3636 2564 317809566
853 1526 373960540
899 505 542244051
3146 909 535668165
895 965 625741386
1021 2846 829788327
3356 1269 949906978
723 2593 36044026
2212 1221 776619105
1729 1499 43326250
3210 600 436081886
3496 2815 23326565
653 2874 85926251
1195 1201 202773878
1109 590 545534806
1501 319 684678846
2931 1299 576381260
1946 1990 583228501
436 238 998690843
1663 2951 631950757
1569 1412 628664508
2506 3757 693663624
1257 2078 560390629
2066 1820 965999850
2856 571 324033359
1599 1278 111590626
1751 115 955231376
3077 599 134665219
3441 655 355735888
1160 836 100659891
3242 1983 578503557
2408 1148 209071648
297 2152 508344564
907 2750 791346021
3755 2336 786265221
374 278 222909643
1733 3681 181333659
3297 2907 530562839
579 590 618280327
2897 3323 381416401
1860 2946 592874845
1533 3551 182781090
983 2438 564448684
1238 464 309486853
2014 3139 455761469
1166 2399 116631290
1098 773 368963254
3735 1067 100886009
2330 2708 916946203
589 876 554610761
3339 2189 821217297
3315 3613 292756241
2221 438 29943063
2703 997 95326395
1931 2642 343897392
144 1233 684070513
1386 2097 65520202
2985 3384 884776370
638 3699 746751964
1733 390 840782752
3320 2030 314472880
1547 3484 213182147
1593 3613 817181368
1609 2941 612198872
724 3419 951778359
1811 255 345341770
3136 2806 353367095
530 2236 629048147
1700 1587 706918704
1572 2278 684667684
2547 715 330236953
3264 1267 996215871
1889 3472 244475899
188 3396 61678194
101 3216 286586054
1115 644 923907962
2795 1931 343265544
1812 2188 113718893
3543 3350 204246967
1245 3610 586078994
3726 2559 995284555
1788 764 468544147
2150 3649 26347837
615 36 383416460
3747 338 435412350
2612 1294 776044641
1040 3043 67274262
859 3477 253461931
3383 3156 925593391
3340 782 715586928
3681 1611 988589785
2357 3598 104288502
2762 1590 107169366
1643 3398 791315298
90 3624 59884787
1103 54 497163814
668 2562 786583060
1461 2888 91500064
2046 3298 297157222
2164 1143 680517695
2331 2701 2803998
462 1808 366180010
1619 943 97772998
842 541 876105706
2239 2445 170499688
925 3331 808571423
498 2967 822787815
1766 3197 911505873
380 1591 198925967
2187 2064 622775049
1301 2394 952218725
1068 2224 367328582
3217 2265 896848086
2234 3238 347348845
1124 1300 672084903
2453 3751 310588580
1466 521 21634217
813 3189 17126173
2588 3136 606343371
3095 2286 657549997
3506 1518 487294244
2663 1972 255105268
2798 2282 264454254
96 43 158600858
2039 512 763876608
393 1772 319857354
581 3129 711220461
133 3228 78817716
712 772 59781215
2295 1723 260775060
537 3292 953248436
3230 3156 648865583
1600 743 837975728
3573 3543 273561838
334 1635 549796701
593 3668 759482487
3311 586 626310808
381 45 697835575
2451 260 355752204
1552 3251 445405664
1140 395 516635274
357 3388 950790915
239 2276 871352308
58 1451 610427657
3024 3730 293213768
2129 1054 690251498
901 1740 75052903
2871 2188 301668278
959 1748 228468126
653 276 227695168
875 724 291773884
583 1213 930880190
1354 2600 547138108
990 287 83678197
630 789 968159754
521 2105 752599408
2581 1206 247824483
2909 3335 133232544
27 1760 63165233
1673 1382 246056461
1145 1501 534870436
546 1061 516285492
2038 3465 633513531
398 603 949988624
3358 1745 356500269
1503 1049 179145503
1671 454 668163399
791 3525 99100072
3013 371 243772558
1416 46 559900460
3483 1165 303835103
2169 1004 340269830
1359 3200 378246803
3600 2709 937553849
1905 953 506467614
2232 3527 452249297
251 391 779176310
3633 1068 790027776
2741 234 499764422
1581 2488 877794386
654 2978 229163039
2341 1201 527256832
2300 572 223880622
679 3616 676400414
3316 1440 236544940
830 1508 529855325
2638 3740 763085001
3371 2313 249202832
3069 1959 585704081
3380 1360 521202980
3693 1565 500945325
2545 1623 119052939
3759 3587 619570053
3090 1374 510904989
563 1947 217438238
2762 292 193114416
2789 3460 240747843
3354 3544 608594903
2981 3078 427486049
1350 3419 792059349
3119 1994 778016602
2468 2556 738939200
2429 3422 628730458
855 1913 604899253
3256 521 208044027
2661 304 532401374
1816 652 174964079
3085 2279 187782192
1962 3191 628858741
2105 92 747170855
1646 2704 734672718
3438 2954 867102598
1934 3299 101915449
1883 870 213941254
2835 2972 439138335
63 3705 204833061
1563 1076 934277179
3760 2013 516142295
864 3292 706216726
165 2020 768924174
2766 3205 89686366
3601 524 341387336
579 2131 978930436
3070 609 668063581
682 3635 568634808
961 3689 489525414
2909 2262 630640355
2181 3105 281545716
1293 2143 770206628
345 1952 420691788
406 3164 584794613
2775 2228 932021906
2776 759 139254042
2230 2287 626979856
3421 3215 358063105
813 2275 437712179
510 1196 336222795
2343 103 160728396
2445 2023 489141383
989 2003 63891571
2247 3548 115324862
1833 204 11446455
2301 2580 942092880
3443 505 744631632
3737 3668 264904568
2864 1593 223756072
1481 2095 141317833
2804 2023 992248308
2690 3404 572307227
1817 1759 147849798
826 3651 603063969
2248 435 387080919
2766 1899 193875122
2418 2188 914174509
3610 925 757118268
2698 2075 22369886
245 721 594427784
2119 602 642281830
1260 3162 722548321
1419 1564 310445272
3590 572 774578266
21 2464 644819542
1872 1823 399566213
247 1670 768860219
932 965 581170984
308 1751 432451253
526 1075 617280535
1541 1724 760076858
1020 1664 348246127
1702 1428 210690998
2103 2177 24352703
3107 3719 38492177
1426 1251 579140773
1239 3510 905880014
2381 3510 232948384
2749 2546 296164923
2020 622 177343859
2607 3553 727508472
2645 1015 390026601
2756 3352 982772914
1191 290 118777094
1853 3494 968072305
3297 716 762625307
1726 909 648989021
3572 972 818773989
3407 2826 40025477
291 1978 533188135
598 2513 54032620
2061 1114 540991762
1332 2644 455154174
1954 2298 599209496
276 3015 98481913
3190 2376 518574485
2608 789 228519731
1997 2412 424529283
1095 1627 705959002
3403 2264 714078715
3270 1332 643613795
2331 1906 764156986
2952 1043 30930810
3507 2999 325802045
2249 1732 324629766
2928 2506 54894293
1581 993 600347527
1276 2394 527356072
1672 1815 259016803
960 3166 210824735
2445 146 355701610
1710 1770 815820873
2655 1620 73000634
598 2259 111989907
2304 539 681309036
511 2610 139706519
1015 658 499278131
1956 890 588913111
2421 1969 240752837
106 2438 380608903
3005 1275 579744273
3183 2759 310882619
2065 2216 700503587
635 3371 541168316
1145 1961 636161500
2727 2855 186508389
2691 233 866931860
3014 3371 534424697
3334 580 74302974
1269 3422 445908925
1579 1857 167962235
307 1662 811115121
1353 1159 102487782
108 2501 385852174
810 1181 491921463
1995 3266 264414932
243 43 253333879
541 1025 44308485
3299 2219 599872762
2060 220 639135832
2959 1097 984556878
1709 3226 848161350
262 2079 293098015
729 1758 328849277
2864 1068 722788057
2298 3000 915770456
598 1883 587607164
681 17 849129188
2826 2309 242275054
1400 2538 258865950
351 3059 988979219
265 2780 308994909
1713 2036 921253819
80 3720 703524990
2844 1896 311852447
2165 521 641304676
2859 2663 903423124
1003 1939 855491360
1439 2111 718187109
3759 1686 296870851
1851 411 617543278
1988 3245 147007957
3691 231 394788379
3487 1365 523464457
1187 2173 569631524
783 3709 514607400
484 2594 168681488
1183 2571 325235226
2208 2971 698526517
3588 266 533261931
937 1981 327236683
288 3071 877335103
3555 2644 839044733
3029 541 956840009
675 2929 663543001
2480 1478 185453041
1677 583 501346506
1081 3313 879320712
720 3435 509087213
567 1123 343600689
155 3437 769239376
2828 539 798232634
2175 411 960575697
3735 1956 891775459
482 402 536704205
2901 742 964757367
695 524 697268577
2694 2856 729887935
2904 981 113225672
1612 2531 651785018
3276 278 46718519
2771 203 962758240
786 2012 737133006
152 2495 314376733
1763 1670 557860483
3387 3386 746642132
91 3104 140536051
1376 2966 327158045
377 288 378381645
3078 3495 305019225
1279 2300 499210481
2984 2777 243389236
882 2154 843969423
2288 2573 460489933
3748 1294 358557029
3647 1864 156599322
2099 469 611876588
2850 1400 448332222
3497 2391 79955820
215 1195 541499023
2184 1129 733705351
862 3312 79682434
1511 2142 79812832
3751 1579 306702103
396 3390 952008030
1232 3542 377811398
926 2805 4165237
1296 2426 755226736
3713 3514 110402678
32 2275 554203299
3182 998 123032782
471 2478 326583044
1079 846 217716045
1017 3699 173708913
1363 1060 115913111
1881 914 792955777
2939 2886 598338851
1807 1418 466054942
3225 3644 780360915
238 1132 998870488
2804 1199 180399957
846 3045 998712435
1960 1926 202768930
1242 1605 710997971
1345 2348 653415692
1672 3268 322870215
2831 1043 517777631
1896 528 626013018
1854 2560 863164706
50 3029 393795111
956 1052 261561075
3131 3581 429069003
2384 252 440377427
2188 2489 757784374
1375 2228 722706099
619 361 11877196
2199 2638 279411858
50 3456 990561115
530 391 844513386
1034 273 436006525
2983 437 127232961
1368 2301 626791695
750 3689 120408643
3455 473 863435064
2227 2922 95817476
1220 2395 222902319
1028 2220 913169490
902 3449 683772475
3286 3460 310339902
1388 3759 831719832
1192 2758 528030463
2139 3624 618830039
2216 605 720526853
1656 1311 369766626
1948 539 372354765
861 3031 896318433
561 2563 646938738
2290 2523 322052283
1456 3564 623025432
3683 2427 355372766
3175 63 848816443
1259 2260 538610348
1024 1299 185955733
627 2565 505955384
1552 85 352474677
2467 2717 771658454
755 1824 109393250
3319 539 310140549
799 3374 332734142
1569 1035 945599570
979 270 19872966
449 3195 419240090
3215 1256 316562624
1108 2328 587646238
1905 2786 417364357
1016 1619 195427708
1231 1646 74372942
2058 3467 993756314
570 1578 374465125
1333 2407 234263788
1294 902 324138920
1193 3492 668196628
2715 2941 721265481
1430 2813 980997557
2183 2142 445992695
726 2548 665811717
2043 2831 564358149
2397 3378 857082384
2740 1470 710365298
205 2985 50036907
3047 560 833445782
1543 1405 142114255
1041 2768 169136309
2143 945 532324023
3486 3619 960265287
3566 3757 515770149
2328 1583 101986999
1523 1799 801409844
1956 2825 277693048
2128 3691 977878692
3582 3305 586202808
236 2548 440078651
429 2033 164919214
3114 1437 80284022
1577 645 812563805
1940 2098 389971271
1176 1681 492550378
3473 2918 20895886
1165 2640 741449374
1351 3237 166422509
1493 1117 142796747
2479 3343 479237645
1087 2738 254946077
3412 3342 942855762
1933 3099 166097698
3454 440 751123049
1542 2664 42969683
3618 2666 506200042
1640 1575 225609422
2055 3295 690670774
3100 2009 471987660
3051 1295 33268290
1185 1272 286820953
1372 567 746679803
323 2016 998061051
503 486 745740845
3299 940 954341754
2509 1125 838291820
3674 402 760935048
1822 1043 556718278
3658 885 374233706
2804 988 103163210
1487 2897 164906862
3549 1055 707645424
185 1038 139043794
2954 1061 307930888
1243 764 305715328
1517 516 671299631
2715 3638 58317063
3250 1007 15668561
3175 802 384017461
1159 2168 971460033
1639 1612 25514515
3197 338 315310868
2645 2981 265815638
2172 43 443200296
2657 2491 604687857
2636 3164 191196639
3543 2507 559790081
1117 7 434222562
790 2555 863607241
2580 1828 259945427
2317 3317 466065346
502 3646 44123861
1004 1204 926230140
1828 1886 180812711
3176 1291 577390296
324 2155 580732905
1605 1482 262624243
1447 1097 78119389
2295 2496 148053853
2475 941 242490689
308 2359 746385804
2140 748 381189262
2322 2717 832644232
3007 2706 263945012
2725 2056 572573212
611 1838 806078053
406 327 717341698
3252 3078 732348336
829 2443 8181587
2027 1381 959529124
1751 892 705820257
643 3170 964222115
1235 2455 951749587
724 740 633667681
2183 510 489431907
702 1307 890606947
5 543 785342740
157 1601 785845683
138 1304 988550583
2646 3707 121720410
3137 2509 41491948
2177 3064 818913587
1775 376 782474359
3086 1682 201917204
203 3151 623829185
3199 774 96982454
1647 1759 887822829
3426 3340 638363541
2621 510 897443959
1890 3602 384369953
425 3613 984321665
489 3311 76259289
2706 2097 37653301
115 838 512242229
878 2534 371150107
3376 3383 279592713
950 1005 492781555
1988 1138 580966093
1975 966 285388063
2038 3681 725049006
2649 908 462667742
802 1768 285322051
3754 1859 691716411
903 3172 24642602
2232 3105 232644853
2539 556 262507356
836 1812 441147252
2161 2294 9118098
2823 2204 255004347
476 1605 49555159
851 3424 318829742
3312 1274 428724159
407 3585 588660750
2409 3216 21024550
2010 3158 612800077
2892 558 39102319
1091 2028 984729579
1151 2489 140533169
3054 2151 530359599
943 3214 338231063
1216 3688 824318130
567 461 490044213
2212 312 51554271
3359 3068 73429112
228 1523 36580816
2291 2614 3443880
124 519 994155257
2823 690 769469019
2705 3084 154790263
789 2294 24853571
3141 3324 644427358
1997 3496 271017647
2204 1655 285101203
2222 2090 363681167
1277 1246 10358945
61 3696 383472692
1616 1054 674207732
3576 3610 111436136
605 1847 65907377
3459 2809 675215404
2862 2393 331978020
1528 3665 226801905
1962 187 970698004
1837 996 575481198
2835 1933 3818389
16 2165 236207317
1639 351 865328090
292 3049 426528266
1714 2272 882393790
2691 1222 689895849
256 928 126174231
487 233 915924751
3278 2145 79852109
1763 3232 771982405
2668 2525 47013278
1542 866 158633440
1686 670 183396576
2626 1685 388843109
321 3020 687874558
956 3060 605397963
2806 1151 161800078
3409 1787 34544671
1203 2565 973703634
551 2996 739237605
3088 738 111056051
548 2852 315279197
2966 1547 393927617
251 3171 995757484
200 2058 655330619
881 1358 604007530
2504 3339 15603488
329 272 878790390
403 3634 186455713
3146 1596 239422989
3224 1785 549612093
1036 2248 267172893
1458 2753 464670785
2542 316 471485604
1052 904 537231383
879 3717 117325246
2879 1367 252221028
2891 1855 567991015
3526 1616 817327167
675 1113 906318551
924 2648 645711957
320 163 936853804
1903 1295 153609165
1040 1266 805167997
528 293 961734260
2118 2135 400528065
1445 1112 308213375
3446 136 38030531
437 1653 968545067
2713 1912 451376353
793 2019 614255044
745 2859 674037987
3657 3134 340749397
746 1188 289203223
257 590 5151524
3289 978 714512315
1698 1499 441952811
1347 2191 68376430
2037 2401 413682455
3631 2814 585217719
772 917 327946404
397 325 500024867
24 3186 803463096
602 332 10046452
208 1567 133301348
3531 262 467921288
534 3198 350563183
2823 3117 526679334
3627 1902 527716288
2926 30 621722668
1784 1655 507709204
2074 690 109521854
1106 375 153643876
2885 283 283426921
2799 691 538785124
862 1100 85909923
3122 2787 916436465
1391 3549 444944066
2954 2422 111144095
2181 1636 365659228
2096 1236 713069773
2503 1541 520225787
1284 2147 806876383
2725 2439 876212931
1024 2831 558109361
487 1342 705545882
1963 1609 494542528
3439 1453 503508884
54 1013 262203725
2753 298 341102296
2734 1364 93453498
3065 1639 110544449
111 334 690417396
3151 2127 806382486
3259 3544 649615948
247 2621 647561037
1060 3754 124509164
927 1247 883788427
2202 3565 103222987
2891 1798 832322000
1189 883 559584135
1764 2774 490358358
530 324 723284417
694 3053 272544070
2305 3258 522297753
2493 3063 372889570
863 3281 728426100
1870 2211 780664941
1375 2858 471897667
2107 3354 598340037
3394 3692 901195678
3463 3705 674431510
1467 938 877775743
3396 698 507077347
3418 101 290283827
3750 23 401627001
461 802 470726186
905 1461 938500082
1167 2788 461411655
1135 2525 720536771
2209 644 978062990
2762 26 955043316
174 2069 526209217
996 3311 653238325
3281 3335 76272673
2077 262 280086506
2033 2657 229519323
1310 3098 666675819
1564 71 461767051
2903 1364 422686310
3170 1918 357428731
259 151 674317089
2428 3284 605480033
1818 962 287729038
3317 2937 578939476
488 408 499254671
1158 2663 522127772
2652 1457 106710172
2650 3176 913263549
1361 1608 204981353
1855 2931 470251063
1424 3059 49570170
1004 2141 357783857
3469 3335 265762347
308 1305 81912474
1018 2625 266092637
523 2123 144802903
3081 3619 108550070
1152 225 405082599
1931 2793 202911776
722 675 574293023
2696 2654 343826069
1760 1016 307425672
3354 180 517515042
20 1035 718404151
2293 3019 586112455
1430 3213 405198272
1457 3281 826665574
482 2437 359730940
763 898 486844554
1651 3292 415046523
682 2748 100374229
3734 2294 968075442
1603 2711 286649441
1291 1443 838791294
1300 1002 376658334
3381 2780 987166863
72 941 438085875
965 135 588955883
2449 883 741805622
156 1750 69283333
1572 2819 285941097
1228 1401 584953024
109 2651 490324789
539 312 791905546
2766 2058 321023385
502 3046 885737936
1841 380 395760812
2093 3166 594933196
2408 1884 684767658
3014 3647 149115100
2583 228 584150940
1903 1542 419021845
286 2133 897311856
3362 3107 481422752
1304 1958 293374791
2995 816 41494009
2091 3264 9700951
1529 141 698984061
1030 2411 590088773
545 2532 680337663
2887 1654 970501643
251 939 574316976
1915 2070 721287431
510 3130 173874270
2276 1739 239463611
1681 1477 46466133
3385 999 8978605
2151 185 51833302
421 2109 949474115
2595 672 356081641
1811 699 787416800
3451 1107 34995535
210 1445 503105967
3604 2544 963342979
1520 2848 507091762
633 3247 141649068
516 3659 410643857
300 1678 969574884
3315 3663 115274113
506 1882 733485736
2483 1886 514152238
1276 2299 426725091
2975 1999 805704809
1035 1378 880626273
2564 1238 971008145
208 3702 712893872
406 1186 410661074
1364 447 781997157
2058 1567 519939766
1000 3078 886053350
2928 2939 940275987
1813 2592 579256056
438 3129 222875770
713 1134 444776919
2733 3271 7741061
738 340 98654373
3686 1168 289359384
2804 1869 164313232
2273 112 762063298
1490 2589 718027487
233 952 284061400
3745 1145 60025250
1052 2072 412413150
2217 163 272077300
15 3567 460734659
3288 1360 979460317
627 766 475037857
574 2266 727108513
584 3111 268376062
1486 2632 366891112
1045 2384 945199658
1106 2636 290355496
2264 779 177919251
803 1877 742992249
1514 1327 75811924
988 62 599191537
1873 49 730929758
2322 1383 630921318
2110 1723 696428312
1234 246 151737408
3110 1978 880828656
105 3332 879544197
2385 869 509388557
2092 1031 661084686
1372 637 234494222
2302 3318 940758462
267 1271 577448316
745 449 700830687
3746 3635 939858884
1692 3750 364100618
183 1338 111183767
1811 3614 41574819
2187 1525 82235402
787 2379 832521704
3323 3002 647942468
84 2421 537793411
1937 922 214988298
1366 3515 363905740
3439 2149 568222761
89 1847 482881570
35 421 480239566
945 3617 225349149
812 46 451214518
10 2004 330319172
1610 156 694691486
1140 1557 148038185
1375 1864 344720766
1319 1796 467822803
229 1566 536818659
1308 1809 865176212
1315 795 697302198
3649 3073 754917211
1580 2538 961068236
1703 3648 477200304
1756 1247 691336395
3288 49 659585675
414 324 879701542
1569 1785 768430324
2418 3055 273576646
1660 1941 646219532
2911 559 926227611
1816 2060 357487211
222 357 962384291
1845 944 303295023
3014 659 774940867
1175 1652 818748152
2203 2038 912069898
1160 2830 411559226
2577 3170 755962771
2124 1777 674914503
888 981 589274541
3181 3737 510333686
2260 904 569666014
31 2441 528016633
329 2997 476014700
3306 3003 711589217
3702 2238 533215311
1003 2574 958416374
1087 2821 975627809
2547 2776 821258650
679 3309 592084238
3094 2818 910707529
274 3236 370901308
197 2345 458079901
720 2742 419830457
32 364 80022670
3409 2137 779758502
749 2661 496106798
1235 1435 781375177
2801 195 625911148
446 841 453412117
3380 3496 405825252
3667 1284 735329402
3652 1638 109102130
951 3741 833948596
2845 3535 766849990
394 3049 694422715
2926 135 594079886
3735 301 134879123
3140 1281 83505003
3308 649 956349117
1553 2749 259956521
2282 2554 19846653
2616 2981 913576434
3746 2847 589319957
1711 3502 193032762
3008 2249 41392390
3686 2242 93304517
2782 1843 88746274
883 2854 56209980
2922 1137 167882671
2662 1598 139934833
2351 804 689162076
2197 359 638811640
585 1304 3697912
2901 3663 968907717
1559 1085 604946215
619 3330 964381645
1709 754 982160818
1932 3600 501349034
3591 632 100281183
4 1893 44401997
283 1600 894283186
2784 3626 621363864
1651 3553 38010532
2009 1606 765018343
726 3150 899054569
1266 1720 466933932
3224 769 207362713
2886 1072 332047465
2757 3033 761447669
2643 3155 59054622
2323 648 309650096
70 2421 859553663
2028 3025 51995563
2605 2092 398551694
3392 2559 135183094
2595 1337 676976471
1400 810 847558452
3746 735 545562118
2663 1523 346790410
3691 2535 661409888
747 434 46294223
3096 988 6230385
2553 393 760051251
546 2756 906287654
2337 573 341033960
715 2013 313833149
882 1233 700616726
2038 1600 738865289
3466 2933 527747198
2068 3118 299315853
2509 1448 934231668
1255 2943 349711459
741 2056 657960977
2211 417 629135209
1670 2533 604955801
3446 3112 486985194
1503 1671 484082459
152 2508 963026743
1471 3620 111851219
3316 793 659931282
634 2321 550580635
1707 3479 429052208
3291 3030 145286234
1157 1510 419435402
2819 1419 389572323
2620 2150 402898749
553 446 334011741
2624 2291 898937424
2228 3130 696380054
3556 3717 968514292
3399 2044 234231302
570 1287 506847633
1804 1106 715638140
2549 3313 992432132
1059 3647 102066806
3496 1809 442892944
2917 3380 207802039
1609 2500 16893008
1813 2325 812313711
322 3041 191008145
3524 921 377274685
2775 1544 606730684
913 1191 749669583
80 1720 704231479
1054 3237 448071476
3392 1649 580466955
3754 407 672741547
386 2771 717394212
1590 1369 722012955
2823 630 690276397
1339 616 340473672
444 672 787545912
3373 1354 923707836
3091 1124 906637869
114 2576 659048225
3554 3156 199395084
2334 1342 267155493
1931 3478 939596368
457 3657 167783354
3170 3273 365183364
281 1012 524007608
2873 1239 328144055
909 1434 939226525
1880 1573 405752820
3057 408 275437670
2633 1847 938013334
148 1334 517906313
3583 2314 916177870
2141 2487 183500017
3430 2067 96494495
1091 1602 267347502
3232 1992 707368781
618 2581 952648375
567 2560 43416838
2618 1900 802472557
3651 6 703723606
781 3159 415722826
2928 3439 397357050
893 3478 716744985
1966 2090 974980655
2775 1555 798194119
3558 2353 52784310
377 2535 672407167
1477 3394 312825704
358 1907 149707802
2621 3400 949499148
2531 3272 937956846
75 493 455177495
1912 1408 720914737
1522 1235 188473250
1912 1704 415403191
1141 220 367744124
1904 926 744642877
239 634 484149066
1205 3388 326903382
1108 2863 740895524
141 2693 784875242
2080 1338 642609202
3139 1917 590369416
2032 3262 210961447
1335 1711 613662674
30 1205 754601096
3509 1733 918223799
9 3685 192574667
2816 1098 754643465
3105 2583 168393420
791 1496 579222960
2068 1923 885394068
1782 2749 937306821
3630 1278 891982041
2187 3721 487016586
1766 988 361852997
1229 2938 225732437
860 1676 366610916
2662 2291 465903911
1686 1133 198153442
368 3338 379821892
2915 620 34749662
1722 1269 516625919
1518 693 806766828
2671 1680 7495472
3563 2790 71983946
1591 2636 513646475
681 3299 472553458
251 1215 874063060
152 856 519930052
3608 3424 642460139
3483 652 287325061
2779 111 957146777
538 1051 629277808
1273 3506 533752709
503 1788 900614261
816 873 828019737
259 26 400775140
278 309 411267191
3335 678 153858384
2292 3571 380200945
517 3150 323695291
913 3369 158970637
2015 197 640074176
3240 929 403803447
237 2030 479138318
1452 332 592479850
2076 2038 911941780
2424 3651 742509848
3562 125 280115732
202 3086 982770902
1811 1423 875272800
3085 62 590852278
637 2407 809976453
1321 2392 912603252
3123 2663 109380696
1336 731 995738281
2382 2059 965684091
2849 2095 172907743
909 796 413789883
1657 696 981892905
204 347 379873102
3211 1281 97491151
3357 755 635370855
486 2106 271494917
140 3445 58664768
159 3410 190827763
2662 1360 628855883
2736 2111 433076193
495 3191 6738360
3255 2344 276770527
2998 2063 143294442
1737 1205 819839262
620 978 708791801
3121 2872 649053983
1505 990 993569593
3060 3141 347195962
3642 714 258918657
2567 736 594995397
751 2116 681922763
2694 1562 631439210
1639 454 373850597
1963 1425 823118646
1741 3435 97632050
3123 2485 796775987
1685 2431 251391634
1648 533 414135071
1609 813 255920986
85 3004 157983719
325 3188 653662921
2400 3342 612039174
2591 3182 556914873
2985 1440 615893615
361 1605 973462995
3413 1713 343151299
497 3561 945732676
255 3168 458710481
1006 1625 275841497
1282 769 271187998
817 2915 864364288
412 3064 236055711
2772 3097 669281601
1643 2669 984049702
189 2409 584517410
581 2530 920766840
3602 2762 522407592
3320 3184 479962382
39 2143 546273935
1900 3533 630562683
3289 1919 455589541
2120 1390 983973153
3724 606 882460292
907 2317 131392980
1984 1615 486667264
25 1084 367400140
3343 1595 648306073
2826 668 611631679
2044 3751 276867192
252 645 589098697
3682 2640 89929553
513 1685 931534443
672 2675 879868045
828 962 99642755
376 495 283102853
1380 2462 19448483
2154 1466 423303422
2626 2143 276117595
2168 3653 884864942
910 64 92965733
1983 1125 591151575
2322 870 317842132
908 2785 273418430
3290 2685 321493976
1617 1945 814686047
3354 1134 455624440
1241 3431 94368514
1082 2394 535579854
365 3211 520822818
2756 1461 674634576
1488 44 447151415
3386 3157 355469826
774 3132 452001266
3355 997 743280081
893 259 671888908
1390 1497 281994722
1118 3188 75073360
449 3185 171329650
2068 3357 648809733
1381 1031 78160900
